No,text,label
1,YPG'nin vurulması Washington'ı rahatsız etti  https://t.co/kILgTCpZYU,1
10,Murat Mercan’ın Washington’da misyonu ne olacak?.. https://t.co/RBPDs3cwH0 #Korkusuz Gazete @Korkusuz Gazete aracılığıyla,1
100,"Biden'in Washington-İran-İsrail denklemini nasıl kuracağı merak konusu.

İran iyimser ve beklenti içerisinde.

İran Biden'in kazanmasından çok memnun: Perde arkasından Biden ile görüşmeye hazır https://t.co/OzF1FzJNff @Referansmedya aracılığıyla",1
1000,"Türkiye'nin ABD Büyükelçisi Kılıç, Washington'a geri dönüyor https://t.co/AJ3V9ds2uw https://t.co/xAJxHWh1oA",1
101,"#GüzelOlurdu ABD Ulusal Güvenlik Ajansı'nın (NSA), Washington-Fort Meade'da bulunan merkezine saldırı yapıldı. 1 kişi öldü, 2 kişi yaralı.",1
102,Washington Post: Gıda yardımı milyonlarca Amerikalının açlık sorununu çözemeyebilir https://t.co/sFXPdjcURo,1
103,Temsilciler Meclisi'nden Başkentin Eyalet Olmasına Yeşil Işık https://t.co/kK48ROQZZx,1
104,Yavşağın kıblesi kabe değil ki. Kabe ye yönelip dua etsin.Onun kıblesi Washington https://t.co/859z8RH1Tb,1
105,#ABD yönetiminin Washington Post'a göre #Trablus &amp; #Bingazi'deki çatışmalara bakışı şöyleymiş http://t.co/Q59X1uKc7B http://t.co/KHfuSDbwqy,1
106,Beyaz Saray Sözcüsü McEnany: Trump G-7'nin Washington DC'de yapılmasını istiyor https://t.co/Vf2TG5CliF https://t.co/kJ0RTzhfvR,1
107,Bazen bir film sadece Denzel Washington dır dostumm...,0
108,"@deadpoolcoin Biden’a iki şansı var, birini değerlendirsin. Ama 82 Washington olursa hatalı olan biz olmayız ??",1
109,"DÜNYAYA KİMLER YÖN VERİYOR? “Washington’u yani ABD’yi, dolayısıyla da dünyayı yöneten gerçek güçler görünmezdirler. Onlar, güçlerini perde arkasında kullanırlar”. Felix Frankfurter / ABD Yargıtay Başkanı (1882- 1965)",1
11,Erdoğan şimdi ne yapacak? - Yılmaz POLAT / Washington https://t.co/HhNWamqfuK,1
110,"ABD Kongresi'nde şüpheli paket paniği: ABD'nin başkenti Washington'da polis, Kongre binası ç... https://t.co/kYMV2BzEeU kontrahaber@gmail",1
111,"Türk Toplumu, Washington Büyükelçiliği Önünde Nöbet Tutacak #turkishny http://t.co/c96XrhbEtC",1
112,Yarın: Erdoğan için Washington sokaklarında propaganda kamyoneti dolaştırıldı https://t.co/ZqqabiN0fl https://t.co/zshu0lblPu,1
113,Washington Ulusal Katedral'de ilk kez cuma namazı kılındı: ABD'nin başkenti Washington'daki tarihi Washington ... http://t.co/l467rJ2Eud,1
114,"@fatihportakal Len oğlum Yandaş olmayan derken, Vatan için çalışan adamların yandaşı olmayan gazeteci demek istedi Washington.",1
115,"@asliaydintasbas Amerikan başkanları S. Arabistan'a da demokrasi diyor mu mesela? Yazdığın cümleler tamamen bir müstemleke memleketi vatandaşı kafası. Türkiye'ye, Washington'dan bakmayı bırakmanız lazım.",1
116,"Kısaca, Washington’un erleri, kendilerine modern alp-erenler, Horasan erleri yakıştırmasında bulunarak Türk sağını iğfale devam etmektedirler… ”
Necip Hablemitoğlu",1
117,Washington'da Erdoğan sonrası için toplantı yaptılar - http://t.co/08mK0P6Q6d - 20.02.2014 http://t.co/Vt4RArUGII,1
118,Abede kucuk enisteyi Washington sinirlarina bile sokmamis hayirdir.,1
119,"Michael Jordan, Washington Wizards'ı da şampiyon yapıp, Maradona'nın Napoli'de başardığına benzer bir şeyi başarsa nasıl olurdu? Belki de Jordan ve Bulls'un hikâyelerinin ortak olması gerekiyordu. https://t.co/yIHMvEVICj",1
12,Büyük Ortadoğu savaşı için Washington’da zirve var https://t.co/ppbY6L8mBd via @haberturk,1
120,"Sütçü imam üniversitesi neden bu değişime öncü olamadı acab. Milkman İmam University, Washington DC, USA",1
121,@sarppalaur abi ben washington’da değilim ama beni de beklesene,1
122,Washington'dan bakınca Somali ...Feto'nun okullarıyla ABD'ye bağlanmış Afrika.. tıpkı Asya'nın bağlanışı gibi..,1
123,"Washington Post: ""Kürdler deliler gibi saldıran, haşin ve sert bir savaşçı topluluk. Ortadoğu için taze bir nefes""",1
124,"Ters ?? Açı:
KKTC'nin dış Galaksiler arası uzay üsleri ve roket rampaları:
1-Ankara 
2-İstanbul 
3-Mersin 
4-İzmir 
5-Gaziantep 
6-Trabzon 
7-Antalya 
8-Brüksel - Belçika
9-Washington - ABD
10-New York - ABD
11-Londra - İngiltere
12-Cenevre - İsviçre
13-Roma - İtalya +++",1
125,"Kaspersky, ABD'deki Baskılar Nedeniyle Washington Ofisini Kapatıyor https://t.co/w7G0EjtdgG",0
126,#SonDakika Meksika Başkanı Washington ziyaretini iptal etti. Trump komşusu Meksika ile ilk haftalık icraatinde kriz çıkardı. https://t.co/YMwujd6Zab,0
127,Washington Post'a konuşan bir istihbarat yetkilisi: Darbe planında aşiret liderleri ve güvenlik yetkilileri yer aldı. https://t.co/rTM813HR63,1
128,"??️ İngiltere, Washington'a ""kadın şövalye"" ünvanına sahip büyükelçi atadı
https://t.co/Qjrbwl7Nj8 https://t.co/JBUF5Es7FJ",1
129,"Facebook'ta ""At her GWU President's Medal Event in Washington, DC 31/07/2015"" albümünde 3 yeni fotoğraf paylaştım http://t.co/kcv96OL0uL",0
13,ABD genelinde polise şiddet protestosu: ABD'de başta Baltimore olmak üzere Washington ve New York gibi şehirle... http://t.co/NPCrkwiU0s,1
130,"'Washington, Türkiye'yi kaybetme hatasına düşmek istemeyecektir' https://t.co/DMm8Is9VVV",1
131,Washington Post iddiası: Kaşıkçı'yı öldüren grup ABD'de eğitim aldı https://t.co/Tz9CYTrXgW,1
132,"ABD'nin önde gelen insan hakları savunucuları ve on binlerce Amerikalı, Martin Luther King Jr.'ın ""Bir hayalim var"" konuşmasının yıl dönümünde Washington'da ırkçılık karşıtı yürüyüş düzenledi. https://t.co/rsBKenkC41",1
133,DR. MUSTAFA PEKÖZ; MOSKOVA-WASHİNGTON ARASINDA PİNPON TOPU OLMAK https://t.co/0OxbSN4GLt,1
134,Washington Post'a tam sayfa ilan-ABD'de Türk-Amerikan toplum kuruluşunu bir araya getiren... http://t.co/1V5uzkcsE9,1
135,"Washington İran'ı gerilimi yükseltmekle suçladı... Trump, ""İngiltere ile birlikte çalışacağız"" vurgusu yaptı. https://t.co/ltI7Dc8j5v",1
136,"NTV (@ntv) adlı kişiden tweet NTV (@ntv) Tweetledi: ✈️ ABD uçuşları 2,5 ay aranın ardından başladı
İlk sefer Washington ve Chicago'ya https://t.co/n50mHjOyxb https://t.co/Cq4uIbXgvP https://t.co/I5EzN768aI",0
137,Paylaş https://t.co/gRDCeaBXro O akbabalar kılını kıpırdatmadan pastaya çöreklenmek istiyorlar. Bütün mesele bu.,1
138,"Danzel washıngton,the equalizer filminde aksıyon yapıcam diye gosterdiği akılalmaz genclık triplerini kahkahayla izlemek istersenz kacırmayn",0
139,"Rahmetle anıyoruz...

Frantz Fanon(İbrahim Fanon) (d. 20 Temmuz 1925, Fort-de-France, Martinik – ö. 6 Aralık 1961, Washington)

@mahmut_biyikli @yenisafakwriter @mahalle_mektebi https://t.co/zFiB5VjHip",0
14,"ama Suriye dosyası açıldığında
Putin’in arkasında “3 NATO müttefiki” çıkabilir...

https://t.co/Pzm3KaUXit

+
AYU ÇIKABÜLÜ?

HOROZ ÇIKABÜLÜ?

KURT ÇIKABÜLÜ?

BOZ-KURT ÇIKABÜLÜ?

SİMURG ÇIKABÜLÜ?",1
140,"???? ???? Rusya'nın Washington Büyükelçiliği, Amerikan hipersonik silah sistemlerinin Avrupa'ya konuşlandırılmasının olumsuz etkisi olacağını, böyle bir adımın son derece istikrarsızlaştırıcı olacağını bildirdi. https://t.co/nBrMheGZSY",1
141,Washington Hariciyesi kaynıyor!,1
142,"Uygur Türkleri Washington'da Çin'i protesto etti
ABD Kongresi önünde toplanan yüzlerce Uygur Türkü, Çin yönetimine karşı protesto gösterisi düzenledi. https://t.co/Y6JCWicEWP",1
143,Washington’da ’ABD’nin terör örgütü PYD/PKK politikası’ tartışıldı https://t.co/KMr1ZFyf4A,1
144,"ve diğer küresel/bölgesel aktörlerin aleyhine kullanmaya çalışıyor. ABD ise bu denklemi yukarıdan ve kurulmasına yardımcı olduğu (kimi zaman kontrolden çıkan ama çoğunlukla Washington ile bağları hiç kesilmeyen) örgütler ve hatta ‘yolsuz’ hükümetler eliyle izliyor, yönlendiriyor.",1
