No,text,label
1,İyi geceler (@ Beyaz Saray Konakları in Gaziantep) https://t.co/lg8VzAk8wr,0
2,Washington DC’de şu anda saat 22:30. Beyaz Saray önünde çok az sayıda gösterici var. https://t.co/KrOvH8lKWd,1
3,"ABD' koronavirüs yası! Bayraklar yarıya indiriliyor Beyaz Saray Sözcüsü Jen Psaki, 500 bin Amerikalının Covid-19 sonucu ölümü nedeniyle Başkan Joe Biden'ın tüm federal binalardaki bay...  https://t.co/jkC1kOMbWS",1
4,"Pablo Escobar ın üşümesin diye uğruna 128 milyar dolar yaktığı çocuğuyla beyaz saray anısı...

Binali Yıldırım Erkan Yıldırım 
#Hükümetİstifa Tayyip 
#sedatpeker7 Mehmet Ağar https://t.co/LWyEwhUJ4S",0
5,Beyaz Saray: Suriye'ye yönelik yeni saldırılar olabilir https://t.co/wRkl3iQgyj,1
6,İyi geceler olsun canlar.. (@ Beyaz Saray Konakları in Gaziantep) https://t.co/TD7uW3kMFG,0
7,#Trump'ın vergi bilgileri sızdırıldı: Beyaz Saray verileri doğruladı https://t.co/B2ywNqaliK https://t.co/Kd5zgskdE0,1
8,"obama olduğundan emin miyiz? beyaz saray onaylasın pıliiiis
https://t.co/Mkd2r1lONt",1
9,@SantManukyan Beyaz Saray: İçişleri ve Adalet Bakanı'na yaptırım uygulanacak,1
10,@meryemcelikt Biden kendisi özür dilememiş sanırım. Beyaz Saray AA'ya açıklama yapmış diyorlar.,1
11,"Beyaz Saray , sitesinde Erdogan yerine Edrogan yazarak
''e- Dragon '' mu demek mi istedi acaba ?

Her yerde ateş püskürünce insan kıllanıyor",1
12,"Beyaz Saray Sözcüsü'ne soruldu: Ruslarla savaşın eşiğinde miyiz?
https://t.co/1fK5udxV2Z https://t.co/jIErdX718z",1
13,"Beyaz Saray'dan Kuzey Kore açıklaması
https://t.co/FnVvPbVk9V https://t.co/trGQuG0Xwf",1
14,Beyaz Saray’dan Erdoğan’a 'Mesaj alındı' açıklaması - Hürriyet DÜNYA http://t.co/VoyYX1jOJb @hurriyet aracılığıyla,1
15,Beyaz Saray'dan Erdoğan'a eleştiri https://t.co/6vt96s7frX,1
